Name,CODE
GEELY AUTO,0175.HK
CITIC,0267.HK
SINOPEC CORP,0386.HK
CHINA OVERSEAS,0688.HK
TENCENT,0700.HK
CHINA UNICOM,0762.HK
PETROCHINA,0857.HK
CNOOC,0883.HK
CCB,0939.HK
CHINA MOBILE,0941.HK
SMIC,0981.HK
LENOVO GROUP,0992.HK
KUAISHOU-W,1024.HK
CHINA SHENHUA,1088.HK
CSPC PHARMA,1093.HK
CHINA RES LAND,1109.HK
BYD COMPANY,1211.HK
ABC,1288.HK
CHINAHONGQIAO,1378.HK
ICBC,1398.HK
PSBC,1658.HK
INNOVENT BIO,1801.HK
XIAOMI-W,1810.HK
LI AUTO-W,2015.HK
ANTA SPORTS,2020.HK
ZTO EXPRESS-W,2057.HK
SHENZHOU INTL,2313.HK
PING AN,2318.HK
PICC P&C,2328.HK
BEKE-W,2423.HK
CHINA LIFE,2628.HK
ZIJIN MINING,2899.HK
BANKCOMM,3328.HK
MEITUAN-W,3690.HK
HANSOH PHARMA,3692.HK
CM BANK,3968.HK
BANK OF CHINA,3988.HK
BEONE MEDICINES,6160.HK
JD HEALTH,6618.HK
JD-SW,9618.HK
NONGFU SPRING,9633.HK
HORIZONROBOT-W,9660.HK
XPENG-W,9868.HK
BIDU-SW,9888.HK
AKESO,9926.HK
TRIP.COM-S,9961.HK
YUM CHINA,9987.HK
BABA-W,9988.HK
POP MART,9992.HK
NTES-S,9999.HK
