code,ticker,name,archive_tag,hsi_from_archive,hscei_from_list,label,correct_label
1,0001.HK,CK Hutchison Holdings Ltd.,HSI,Y,N,HSI,
2,0002.HK,CLP Holdings Limited,HSI,Y,N,HSI,
3,0003.HK,The Hong Kong and China Gas Company Limited,HSI,Y,N,HSI,
4,0004.HK,The Wharf (Holdings) Limited,N/A,N,N,N/A,
5,0005.HK,HSBC Holdings Plc.,HSI,Y,N,HSI,
6,0006.HK,Power Assets Holdings Limited,HSI,Y,N,HSI,
12,0012.HK,Henderson Land Development Company Limited,HSI,Y,N,HSI,
16,0016.HK,Sun Hung Kai Properties Limited,HSI,Y,N,HSI,
17,0017.HK,New World Development Company Limited,N/A,N,N,N/A,
19,0019.HK,Swire Pacific Limited 'A',N/A,N,N,N/A,
20,0020.HK,SenseTime Group Inc.,N/A,N,N,N/A,
23,0023.HK,"The Bank of East Asia, Limited",(not in archive),N,N,N/A,
27,0027.HK,Galaxy Entertainment Group Limited,HSI,Y,N,HSI,
66,0066.HK,MTR Corporation Limited,HSI,Y,N,HSI,
135,0135.HK,Kunlun Energy Co. Ltd.,N/A,N,N,N/A,
151,0151.HK,Want Want China Holdings Ltd.,(not in archive),N,N,N/A,
175,0175.HK,Geely Automobile Holdings Ltd.,HSI,Y,Y,BOTH,
241,0241.HK,Alibaba Health Information Technology Ltd.,HSI,Y,N,HSI,
267,0267.HK,CITIC Limited,HSI,Y,Y,BOTH,
268,0268.HK,"Kingdee International Software Group Co., Ltd.",N/A,N,N,N/A,
285,0285.HK,BYD Electronic International Company Limited,HSI,Y,N,HSI,
288,0288.HK,WH Group Ltd.,HSI,Y,N,HSI,
293,0293.HK,Cathay Pacific Airways Limited,N/A,N,N,N/A,
300,0300.HK,"Midea Group Co., Ltd.",HSI,Y,N,HSI,
358,0358.HK,Jiangxi Copper Company Limited,N/A,N,N,N/A,
386,0386.HK,China Petroleum & Chemical Corporation,HSI,Y,Y,BOTH,
388,0388.HK,Hong Kong Exchanges and Clearing Limited,HSI,Y,N,HSI,
390,0390.HK,China Railway Group Limited,N/A,N,N,N/A,
669,0669.HK,Techtronic Industries Co. Ltd.,HSI,Y,N,HSI,
688,0688.HK,China Overseas Land & Investment Limited,HSI,Y,Y,BOTH,
700,0700.HK,Tencent Holdings Limited,HSI,Y,Y,BOTH,
728,0728.HK,China Telecom Corporation Limited,HSI,Y,N,HSI,
753,0753.HK,Air China Ltd.,N/A,N,N,N/A,
762,0762.HK,China Unicom (Hong Kong) Limited,HSI,Y,Y,BOTH,
788,0788.HK,China Tower Corporation Limited,N/A,N,N,N/A,
823,0823.HK,Link Real Estate Investment Trust,(not in archive),N,N,N/A,
836,0836.HK,China Resources Power Holdings Company Limited,HSI,Y,N,HSI,
857,0857.HK,PetroChina Company Limited,HSI,Y,Y,BOTH,
