code,name,archive_tag,ticker,hsi_from_archive,hscei_from_list,label,correct_label
1,CKH HOLDINGS,HSI,0001.HK,Y,N,HSI,
2,CLP HOLDINGS,HSI,0002.HK,Y,N,HSI,
3,HK & CHINA GAS,HSI,0003.HK,Y,N,HSI,
4,WHARF HOLDINGS,N/A,0004.HK,N,N,N/A,
5,HSBC HOLDINGS,HSI,0005.HK,Y,N,HSI,
6,POWER ASSETS,HSI,0006.HK,Y,N,HSI,
8,PCCW,N/A,0008.HK,N,N,N/A,
12,HENDERSON LAND,HSI,0012.HK,Y,N,HSI,
13,HUTCHMED,N/A,0013.HK,N,N,N/A,
14,HYSAN DEV,N/A,0014.HK,N,N,N/A,
16,SHK PPT,HSI,0016.HK,Y,N,HSI,
17,NEW WORLD DEV,N/A,0017.HK,N,N,N/A,
19,SWIRE PACIFIC A,N/A,0019.HK,N,N,N/A,
20,SENSETIME-W,N/A,0020.HK,N,N,N/A,
27,GALAXY ENT,HSI,0027.HK,Y,N,HSI,
31,CHINA AEROSPACE,N/A,0031.HK,N,N,N/A,
38,FIRST TRACTOR,N/A,0038.HK,N,N,N/A,
66,MTR CORPORATION,HSI,0066.HK,Y,N,HSI,
68,MANYCORE TECH,N/A,0068.HK,N,N,N/A,
81,CH OVS G OCEANS,N/A,0081.HK,N,N,N/A,
83,SINO LAND,N/A,0083.HK,N,N,N/A,
100,MINIMAX-W,N/A,0100.HK,N,N,N/A,
101,HANG LUNG PPT,HSI,0101.HK,Y,N,HSI,
107,SICHUAN EXPRESS,N/A,0107.HK,N,N,N/A,
108,GR LIFE STYLE,N/A,0108.HK,N,N,N/A,
116,CHOW SANG SANG,N/A,0116.HK,N,N,N/A,
117,TIANLI HOLDINGS,N/A,0117.HK,N,N,N/A,
119,POLY PROPERTY,N/A,0119.HK,N,N,N/A,
123,YUEXIU PROPERTY,N/A,0123.HK,N,N,N/A,
133,CHINA MERCHANTS,N/A,0133.HK,N,N,N/A,
135,KUNLUN ENERGY,N/A,0135.HK,N,N,N/A,
136,CHINA RUYI,N/A,0136.HK,N,N,N/A,
142,FIRST PACIFIC,N/A,0142.HK,N,N,N/A,
144,CHINA MER PORT,N/A,0144.HK,N,N,N/A,
148,KINGBOARD HLDG,N/A,0148.HK,N,N,N/A,
152,SHENZHEN INT'L,N/A,0152.HK,N,N,N/A,
165,CHINA EB LTD,N/A,0165.HK,N,N,N/A,
168,TSINGTAO BREW,N/A,0168.HK,N,N,N/A,
175,GEELY AUTO,HSI,0175.HK,Y,Y,BOTH,
177,JIANGSU EXPRESS,N/A,0177.HK,N,N,N/A,
179,JOHNSON ELEC H,N/A,0179.HK,N,N,N/A,
182,CONCORD NE,N/A,0182.HK,N,N,N/A,
187,JINGCHENG MAC,N/A,0187.HK,N,N,N/A,
189,DONGYUE GROUP,N/A,0189.HK,N,N,N/A,
200,MELCO INT'L DEV,N/A,0200.HK,N,N,N/A,
220,U-PRESID CHINA,N/A,0220.HK,N,N,N/A,
241,ALI HEALTH,HSI,0241.HK,Y,N,HSI,
257,EB ENVIRONMENT,N/A,0257.HK,N,N,N/A,
259,YEEBO (INT'L H),N/A,0259.HK,N,N,N/A,
267,CITIC,HSI,0267.HK,Y,Y,BOTH,
268,KINGDEE INT'L,N/A,0268.HK,N,N,N/A,
270,GUANGDONG INV,N/A,0270.HK,N,N,N/A,
285,BYD ELECTRONIC,HSI,0285.HK,Y,N,HSI,
288,WH GROUP,HSI,0288.HK,Y,N,HSI,
290,GOFINTECH QUANT,N/A,0290.HK,N,N,N/A,
291,CHINA RES BEER,HSI,0291.HK,Y,Y,BOTH,
293,CATHAY PAC AIR,N/A,0293.HK,N,N,N/A,
297,SINOFERT,N/A,0297.HK,N,N,N/A,
300,MIDEA GROUP,HSI,0300.HK,Y,N,HSI,
303,VTECH HOLDINGS,N/A,0303.HK,N,N,N/A,
316,OOIL,HSI,0316.HK,Y,N,HSI,
317,COMEC,N/A,0317.HK,N,N,N/A,
322,TINGYI,HSI,0322.HK,Y,N,HSI,
323,MAANSHAN IRON,N/A,0323.HK,N,N,N/A,
325,BLOKS,N/A,0325.HK,N,N,N/A,
326,CN STAR ENT-2K,N/A,0326.HK,N,N,N/A,
336,HUABAO INTL,N/A,0336.HK,N,N,N/A,
338,SHANGHAI PECHEM,N/A,0338.HK,N,N,N/A,
340,TONGGUAN GOLD,N/A,0340.HK,N,N,N/A,
354,CHINASOFT INT'L,N/A,0354.HK,N,N,N/A,
358,JIANGXI COPPER,N/A,0358.HK,N,N,N/A,
363,SHANGHAI IND H,N/A,0363.HK,N,N,N/A,
365,SINO ICT,N/A,0365.HK,N,N,N/A,
371,BJ ENT WATER,N/A,0371.HK,N,N,N/A,
376,YUNFENG FIN,N/A,0376.HK,N,N,N/A,
384,CHINA GAS HOLD,N/A,0384.HK,N,N,N/A,
386,SINOPEC CORP,HSI,0386.HK,Y,Y,BOTH,
388,HKEX,HSI,0388.HK,Y,N,HSI,
390,CHINA RAILWAY,N/A,0390.HK,N,N,N/A,
392,BEIJING ENT,N/A,0392.HK,N,N,N/A,
400,INGDAN,N/A,0400.HK,N,N,N/A,
425,MINTH GROUP,N/A,0425.HK,N,N,N/A,
460,SIHUAN PHARM,N/A,0460.HK,N,N,N/A,
465,FUTONG TECH,N/A,0465.HK,N,N,N/A,
467,UNITEDENERGY GP,N/A,0467.HK,N,N,N/A,
470,WUXI LEAD,N/A,0470.HK,N,N,N/A,
501,OMNIVISION,N/A,0501.HK,N,N,N/A,
506,CHINA FOODS,N/A,0506.HK,N,N,N/A,
512,GRAND PHARMA,N/A,0512.HK,N,N,N/A,
522,ASMPT,N/A,0522.HK,N,N,N/A,
525,GUANGSHEN RAIL,N/A,0525.HK,N,N,N/A,
546,FUFENG GROUP,N/A,0546.HK,N,N,N/A,
551,YUE YUEN IND,N/A,0551.HK,N,N,N/A,
552,CHINACOMSERVICE,N/A,0552.HK,N,N,N/A,
553,NANJING PANDA,N/A,0553.HK,N,N,N/A,
558,LK TECH,N/A,0558.HK,N,N,N/A,
564,ZCZL,N/A,0564.HK,N,N,N/A,
565,ART GROUP HOLD,N/A,0565.HK,N,N,N/A,
568,SHANDONG MOLONG,N/A,0568.HK,N,N,N/A,
570,TRAD CHI MED,N/A,0570.HK,N,N,N/A,
576,ZHEJIANGEXPRESS,N/A,0576.HK,N,N,N/A,
580,SUN.KING TECH,N/A,0580.HK,N,N,N/A,
581,CHINA ORIENTAL,N/A,0581.HK,N,N,N/A,
586,CONCH VENTURE,N/A,0586.HK,N,N,N/A,
588,BEIJING N STAR,N/A,0588.HK,N,N,N/A,
590,LUK FOOK HOLD,N/A,0590.HK,N,N,N/A,
