1,CK Hutchison Holdings Ltd.
2,CLP Holdings Limited
3,The Hong Kong and China Gas Company Limited
4,The Wharf (Holdings) Limited
5,HSBC Holdings Plc.
6,Power Assets Holdings Limited
12,Henderson Land Development Company Limited
16,Sun Hung Kai Properties Limited
17,New World Development Company Limited
19,Swire Pacific Limited 'A'
20,SenseTime Group Inc.
23,"The Bank of East Asia, Limited"
27,Galaxy Entertainment Group Limited
66,MTR Corporation Limited
135,Kunlun Energy Co. Ltd.
151,Want Want China Holdings Ltd.
175,Geely Automobile Holdings Ltd.
241,Alibaba Health Information Technology Ltd.
267,CITIC Limited
268,"Kingdee International Software Group Co., Ltd."
285,BYD Electronic International Company Limited
288,WH Group Ltd.
293,Cathay Pacific Airways Limited
300,"Midea Group Co., Ltd."
358,Jiangxi Copper Company Limited
386,China Petroleum & Chemical Corporation
388,Hong Kong Exchanges and Clearing Limited
390,China Railway Group Limited
669,Techtronic Industries Co. Ltd.
688,China Overseas Land & Investment Limited
700,Tencent Holdings Limited
728,China Telecom Corporation Limited
753,Air China Ltd.
762,China Unicom (Hong Kong) Limited
788,China Tower Corporation Limited
823,Link Real Estate Investment Trust
836,China Resources Power Holdings Company Limited
857,PetroChina Company Limited
868,Xinyi Glass Holdings Limited
881,Zhongsheng Group Holdings Limited
883,CNOOC Limited
902,"Huaneng Power International, Inc."
914,Anhui Conch Cement Company Limited
939,China Construction Bank Corporation
941,China Mobile Limited
968,Xinyi Solar Holdings Limited
981,Semiconductor Manufacturing International Corp.
992,Lenovo Group Limited
998,China CITIC Bank Corporation Limited
1024,Kuaishou Technology
1044,Hengan International Group Co. Ltd.
1088,China Shenhua Energy Company Limited
1093,CSPC Pharmaceutical Group Ltd.
1099,Sinopharm Group Co. Ltd.
1109,China Resources Land Ltd.#
1113,CK Asset Holdings Limited
1171,Yankuang Energy Group Company Limited#
1177,Sino Biopharmaceutical Ltd.
1186,China Railway Construction Corporation Limited
1211,BYD Company Limited
1288,Agricultural Bank of China Limited
1299,AIA Group Limited
1336,New China Life Insurance Co. Ltd.
1339,The People's Insurance Company (Group) of China Limited
1347,Hua Hong Semiconductor Limited
1359,"China Cinda Asset Management Co., Ltd"
1378,China Hongqiao Group Limited
1398,Industrial and Commercial Bank of China Limited
1658,Postal Savings Bank of China Co. Ltd.
1772,Ganfeng Lithium Group Company Limited
1800,China Communications Construction Company Limited
1801,"Innovent Biologics, Inc."
1810,XiaoMi Corporation
1816,"CGN Power Co., Ltd"
1833,"Ping An Healthcare and Technology Co., Ltd."
1876,Budweiser Brewing Company APAC Limited
1898,China Coal Energy Company Limited
1919,COSCO Shipping Holdings Company Limited
1928,Sands China Ltd.
1988,China Minsheng Banking Corporation Limited
2015,Li Auto Inc.
2018,AAC Technologies Holdings Inc.
2020,ANTA Sports Products Ltd.
2202,China Vanke Co. Ltd.
2238,Guangzhou Automobile Group Co. Ltd.
2259,Zijin Gold International Company Limited
2269,WuXi Biologics (Cayman) Inc.
2282,MGM China Holdings Limited
2313,Shenzhou International Group Holdings Ltd.
2318,"Ping An Insurance (Group) Company of China, Ltd."
2319,China Mengniu Dairy Co. Ltd.
2328,PICC Property and Casualty Company Limited
2331,Li Ning Company Limited
2333,Great Wall Motor Co. Limited
2359,"WuXi AppTec Co., Ltd."
2382,Sunny Optical Technology (Group) Co. Ltd.
2388,BOC Hong Kong (Holdings) Limited
2600,Aluminum Corporation of China Limited
2601,"China Pacific Insurance (Group) Co., Ltd."
2628,China Life Insurance Company Limited
2800,Tracker Fund of Hong Kong
2822,CSOP FTSE China A50 ETF
2823,iShares FTSE A50 China Index ETF
2828,Hang Seng China Enterprises Index ETF
2899,Zijin Mining Group Company Limited
3188,ChinaAMC CSI 300 Index ETF
3323,China National Building Material Company Limited
3328,"Bank of Communications Co., Ltd."
3690,Meituan
3750,"Contemporary Amperex Technology Co., Limited"
3888,Kingsoft Corporation Ltd.
3968,"China Merchants Bank Co., Ltd."
3988,Bank of China Limited
3993,CMOC Group Limited
6030,CITIC Securities Co. Ltd.
6060,ZhongAn Online P & C Insurance Company Limited
6160,BeOne Medicines Ltd.
6181,"Laopu Gold Co., Ltd."
6618,JD Health International Inc.
6690,"Haier Smart Home Co., Ltd."
6862,Haidilao International Holding Ltd.
9618,"JD.com, Inc."
9626,Bilibili Inc.
9633,Nongfu Spring Company Ltd.
9660,Horizon Robotics
9868,XPeng Inc.
9888,"Baidu, Inc."
9901,New Oriental Education & Technology Group Inc.
9926,"Akeso, Inc."
9961,Trip.com Group Ltd.
9988,Alibaba Group Holding Ltd.
9992,Pop Mart International Group Limited
9999,"NetEase, Inc."
