代碼,名稱
NVDA,NVDA
MU,MU
MSFT,MSFT
INTC,INTC
AAPL,AAPL
TSLA,TSLA
AVGO,AVGO
GOOG,GOOG
DELL,DELL
GOOGL,GOOGL
AMD,AMD
AMZN,AMZN
SNDK,SNDK
PLTR,PLTR
META,META
ORCL,ORCL
NOW,NOW
IBM,IBM
QCOM,QCOM
MRVL,MRVL
COST,COST
CRM,CRM
ASTS,ASTS
HOOD,HOOD
LITE,LITE
NBIS,NBIS
TXN,TXN
GEV,GEV
LLY,LLY
CSCO,CSCO
SNOW,SNOW
RKLB,RKLB
WMT,WMT
TSM,TSM
BE,BE
V,V
CAT,CAT
WDC,WDC
SMCI,SMCI
JPM,JPM
PANW,PANW
STX,STX
XOM,XOM
COHR,COHR
UNH,UNH
AMAT,AMAT
APP,APP
BRK-B,BRK-B
HPE,HPE
ARM,ARM
UBER,UBER
CRWD,CRWD
LRCX,LRCX
MDB,MDB
NFLX,NFLX
IREN,IREN
JNJ,JNJ
GLW,GLW
MSTR,MSTR
GE,GE
CRWV,CRWV
BAC,BAC
PDD,PDD
FTI,FTI
INTU,INTU
NTAP,NTAP
MA,MA
ADBE,ADBE
CRCL,CRCL
SOFI,SOFI
F,F
ROST,ROST
KO,KO
CVX,CVX
ANET,ANET
GILD,GILD
DDOG,DDOG
ADI,ADI
VRT,VRT
FN,FN
LIN,LIN
HD,HD
KLAC,KLAC
GS,GS
NEE,NEE
CIEN,CIEN
T,T
XPO,XPO
C,C
WELL,WELL
OKTA,OKTA
TMO,TMO
MTZ,MTZ
ALAB,ALAB
APH,APH
ACN,ACN
IONQ,IONQ
MRK,MRK
VZ,VZ
COIN,COIN
AAOI,AAOI
TJX,TJX
SYK,SYK
OKLO,OKLO
PEP,PEP
MPWR,MPWR
FSLR,FSLR
ABT,ABT
NKE,NKE
BSX,BSX
SCHW,SCHW
ONDS,ONDS
PG,PG
CME,CME
CRDO,CRDO
ADSK,ADSK
ASML,ASML
WFC,WFC
FLEX,FLEX
MS,MS
HWM,HWM
SPOT,SPOT
SLB,SLB
NOK,NOK
UNP,UNP
ABBV,ABBV
MDT,MDT
FPS,FPS
RDDT,RDDT
WDAY,WDAY
NEM,NEM
COF,COF
HPQ,HPQ
BA,BA
SNPS,SNPS
FIX,FIX
PWR,PWR
BMY,BMY
RTX,RTX
BABA,BABA
RGTI,RGTI
TER,TER
RDW,RDW
ASTC,ASTC
GDDY,GDDY
ZS,ZS
HUBS,HUBS
AZO,AZO
ISRG,ISRG
TTWO,TTWO
TEAM,TEAM
MCK,MCK
AXP,AXP
BKNG,BKNG
SHOP,SHOP
TMUS,TMUS
IT,IT
COP,COP
SPGI,SPGI
MCD,MCD
NET,NET
DIS,DIS
ON,ON
REGN,REGN
PINS,PINS
ETN,ETN
FTNT,FTNT
HON,HON
TIGO,TIGO
GM,GM
MELI,MELI
DHR,DHR
PFE,PFE
PGR,PGR
CMCSA,CMCSA
CB,CB
DE,DE
NXPI,NXPI
MDLN,MDLN
MMM,MMM
RCL,RCL
NU,NU
CVNA,CVNA
TT,TT
CSX,CSX
ICE,ICE
CLS,CLS
CDNS,CDNS
LMT,LMT
DOC,DOC
EQH,EQH
AXTI,AXTI
UDR,UDR
WAT,WAT
PLD,PLD
XEL,XEL
ACM,ACM
BLK,BLK
ZBRA,ZBRA
UPS,UPS
JKHY,JKHY
NOC,NOC
ATO,ATO
SATS,SATS
MCHP,MCHP
AAL,AAL
PM,PM
EA,EA
D,D
QBTS,QBTS
TTD,TTD
RVMD,RVMD
EBAY,EBAY
CCL,CCL
CBRS,CBRS
APLD,APLD
FLY,FLY
EOG,EOG
KEYS,KEYS
EQIX,EQIX
ORLY,ORLY
SPCE,SPCE
RPRX,RPRX
AMGN,AMGN
BX,BX
VLO,VLO
ELV,ELV
SN,SN
MCO,MCO
DVN,DVN
SOLV,SOLV
RIVN,RIVN
CMI,CMI
CMG,CMG
MRSH,MRSH
HLT,HLT
BKR,BKR
MO,MO
DASH,DASH
BNY,BNY
PL,PL
SAP,SAP
HRL,HRL
FDX,FDX
AON,AON
O,O
SO,SO
HCA,HCA
VEEV,VEEV
CVS,CVS
ED,ED
FANG,FANG
MAR,MAR
STRL,STRL
DHI,DHI
TSEM,TSEM
KRMN,KRMN
SRE,SRE
PH,PH
CBOE,CBOE
KMB,KMB
DLTR,DLTR
YMM,YMM
MSI,MSI
VRTX,VRTX
NUE,NUE
TEL,TEL
PYPL,PYPL
AKAM,AKAM
DKNG,DKNG
COR,COR
TTMI,TTMI
MNST,MNST
WM,WM
ODFL,ODFL
UAL,UAL
LUNR,LUNR
TGT,TGT
CTSH,CTSH
SBUX,SBUX
CRH,CRH
OXY,OXY
FITB,FITB
CASY,CASY
SPG,SPG
HAL,HAL
AMT,AMT
FIG,FIG
WMB,WMB
IDXX,IDXX
KR,KR
TRV,TRV
B,B
CBRE,CBRE
BBY,BBY
LNG,LNG
AFL,AFL
SHW,SHW
LOW,LOW
BLDR,BLDR
